aoi,cache,whittle,V,policy
145,0,9.999696750193834,-1449.9999999999993,1
145,1,-0.00037252530455589294,-1549.9999999999993,0
146,0,24.438032504171133,-1459.9999999999989,1
146,1,-0.00037252530455589294,-1559.9999999999993,0
147,0,73.244807805866,-1469.9999999999984,1
147,1,-0.00037252530455589294,-1569.9999999999993,0
148,0,10.299952145665884,-1479.999999999998,1
148,1,-0.00037252530455589294,-1579.9999999999993,0
149,0,9.999696750193834,-1489.9999999999977,1
149,1,-0.00037252530455589294,-1589.9999999999993,0
150,0,9.999696750193834,-1499.9999999999975,1
150,1,-0.00037252530455589294,-1599.9999999999993,0
151,0,15.640474911779165,-1509.9999999999975,1
151,1,-0.00037252530455589294,-1609.9999999999993,0
152,0,25.272489186376333,-1519.9999999999973,1
152,1,-0.00037252530455589294,-1619.9999999999993,0
153,0,9.999696750193834,-1529.999999999997,1
153,1,-0.00037252530455589294,-1629.9999999999993,0
154,0,48.82949934527278,-1539.9999999999968,1
154,1,-0.00037252530455589294,-1639.9999999999993,0
155,0,99.23068295046687,-1549.9999999999966,1
155,1,-0.00037252530455589294,-1649.9999999999993,0
156,0,61.03566347435117,-1559.9999999999966,1
156,1,-0.00037252530455589294,-1659.9999999999993,0
157,0,97.67948758229613,-1569.9999999999964,1
157,1,-0.00037252530455589294,-1669.9999999999993,0
158,0,9.999696750193834,-1579.9999999999964,1
158,1,-0.00037252530455589294,-1679.9999999999993,0
159,0,9.999696750193834,-1589.9999999999961,1
159,1,-0.00037252530455589294,-1689.9999999999993,0
160,0,24.418661188334227,-1599.9999999999961,1
160,1,-0.00037252530455589294,-1699.9999999999993,0
161,0,9.999696750193834,-1609.999999999996,1
161,1,-0.00037252530455589294,-1709.9999999999993,0
162,0,97.65713606402278,-1619.999999999996,1
162,1,-0.00037252530455589294,-1719.9999999999993,0
163,0,97.65564596280456,-1629.999999999996,1
163,1,-0.00037252530455589294,-1729.9999999999993,0
164,0,24.414190884679556,-1639.999999999996,1
164,1,-0.00037252530455589294,-1739.9999999999993,0
165,0,27.480819191783667,-1649.9999999999993,1
165,1,-0.00037252530455589294,-1749.9999999999993,0
166,0,99.1815096102655,-1659.9999999999993,1
166,1,-0.00037252530455589294,-1759.9999999999993,0
167,0,9.999696750193834,-1669.9999999999993,1
167,1,-0.00037252530455589294,-1769.9999999999993,0
168,0,10.121139999479055,-1679.9999999999993,1
168,1,-0.00037252530455589294,-1779.9999999999993,0
169,0,98.04307227954268,-1689.9999999999993,1
169,1,-0.00037252530455589294,-1789.9999999999993,0
170,0,85.52249679341912,-1699.9999999999993,1
170,1,-0.00037252530455589294,-1799.9999999999993,0
171,0,30.529566284269094,-1709.9999999999993,1
171,1,-0.00037252530455589294,-1809.9999999999993,0
172,0,98.03711187466979,-1719.9999999999993,1
172,1,-0.00037252530455589294,-1819.9999999999993,0
173,0,10.493665304034948,-1729.9999999999993,1
173,1,-0.00037252530455589294,-1829.9999999999993,0
174,0,24.46187412366271,-1739.9999999999993,1
174,1,-0.00037252530455589294,-1839.9999999999993,0
175,0,10.109219189733267,-1749.9999999999993,1
175,1,-0.00037252530455589294,-1849.9999999999993,0
176,0,12.207281704992056,-1759.9999999999993,1
176,1,-0.00037252530455589294,-1859.9999999999993,0
177,0,13.065580006688833,-1769.9999999999993,1
177,1,-0.00037252530455589294,-1869.9999999999993,0
178,0,24.414190884679556,-1779.9999999999993,1
178,1,-0.00037252530455589294,-1879.9999999999993,0
179,0,10.010872509330511,-1789.9999999999993,1
179,1,-0.00037252530455589294,-1889.9999999999993,0
180,0,9.999696750193834,-1799.9999999999993,1
180,1,-0.00037252530455589294,-1899.9999999999993,0
181,0,9.999696750193834,-1809.9999999999993,1
181,1,-0.00037252530455589294,-1909.9999999999993,0
182,0,10.002676952630281,-1819.9999999999993,1
182,1,-0.00037252530455589294,-1919.9999999999993,0
183,0,9.999696750193834,-1829.9999999999993,1
183,1,-0.00037252530455589294,-1929.9999999999993,0
